m,bl,dsp,cva,ad,did,rev
2026-03-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Beeswax - SuperAwesome - Nickelodeon - CTV Deal,Beach249,0.0
2025-05-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Pregame Moment,Aki18,0.0
2025-09-01,Select - BFM,Bidswitch,QRate,QrateUS_Costarica_CTV,QRate40,0.0
2025-04-01,Open Auction - BFM,SimpliFi,—,SimpliFi - CTV - 1st Price (Glewed),,266.98
2025-04-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Bidswitch Deal - Roku - OLV - Political Allowed - The New Media Firm,486440112029,0.0
2025-04-01,DSP Marketplace - BFM,Zeta DSP,Beachfront Deal Curation,Bidswitch Deal - Zeta - CTV - RON (Curation Seat),447383266136,108.48
2025-05-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Women 45+ - Lifestyle,662154926548,1974.71
2025-05-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066529 - Optimum Media - Multiple Brands - CTV ContextualPMP - Spanish Language US - ctv,Audig1780,0.0
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Honda Dealership Visitors - Banner,Quoru119,0.0
2025-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_News,Beach166,0.0
2026-01-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - APP Display,,0.02
2025-04-01,Open Auction - BFM,Viant,—,Viant - MW - 1st Price,,0.16
2026-05-01,DSP Marketplace - BFM,Yahoo DSP,Beachfront Deal Curation,New Media CTV/OTT RON - Yahoo,378043004864,4353.44
2025-07-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Friendly's Visitors - CTV,Quoru96,2.83
2025-08-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Cannabis Category Targeting - Display,Beach103,0.0
2026-03-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Home & Garden,Beach168,98.65
2026-02-01,Open Auction - BFM,DeepIntent,—,DeepIntent Web/InApp Display,,1.52
2025-08-01,Open Auction - BFM,Beeswax,—,Beeswax UR Improvement Tier 3 (Low UR),,661.87
2026-01-01,Open Auction - BFM,—,—,Marketing Architects - CTV 1st Price,,0.0
2025-11-01,Open Auction - BFM,TheTradeDesk,—,0,,0.0
2025-12-01,Open Auction - BFM,Viant,—,Viant - Linear (Sports),,0.0
2025-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - Premium Pubs - Political,BFMSA003,87.73
2025-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Migration,Bidswitch Deal - Infillion - LATAM OLV,INFIL002,0.0
2025-06-01,Select - BFM,Beeswax,Simulmedia,Simulmedia Beeswax Cloud,SimulCloud,0.0
2025-09-01,Open Auction - BFM,—,—,NAR USA CTV MS POLITICAL - TTD - September 2025 - Political market place,,0.0
2026-06-01,Open Auction - BFM,Samsung DSP,—,Bidswitch - Desktop - 1st Price (HB),,0.0
2025-01-01,Select - BFM,DV360,IRIS,IRIS.TV - PMG Orvis - Dogs Contextual CTV_BFM,IRIS00279,644.86
2025-01-01,Select - BFM,Bidswitch,Sightly,Sightly - NWH Masterbrand - CTV IRIS TV,Sight8,0.0
2025-01-01,DSP Marketplace - BFM,4INFO,—,Cadent_truTV_PMP_Testv2,16687997449,0.0
2025-02-01,Select - BFM,Xandr,Audigent,SIM-723Stailamedia & Beachfront - SDEAL-001447 - Stailamedia - Video SmartPMP - Online Video Austria – Mediahead 1113 Xandr AT - A1727784775884069 - Xandr,Audig1724,0.02
2025-04-01,Open Auction - BFM,TheTradeDesk,—,TTD Deal - Collective Measure - CTV - Genre Lifestyle,,0.0
2025-04-01,Open Auction - BFM,TheTradeDesk,—,TTD Deal - Ovative - CTV (Outdoor Enthusiasts) Data,,0.0
2025-04-01,Open Auction - BFM,TheTradeDesk,—,TTD Deal - Walmart - CTV (Lifestyle),,0.0
2025-11-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - Sports - Political,BFMSA005,267.31
2026-04-01,Select - BFM,Viant,IRIS,IRIS.TV - Viant - IRIS-enabled CTV_BFM,IRIS00320,42.41
2025-11-01,Open Auction - BFM,OTT Advisors (Demand),—,OTT Advisors Deal - DT - Live Sports (Washington DC),,0.0
2025-09-01,Open Auction - BFM,IPONWEB BidCore,—,Bidswitch - CTV - 1st Price (Bundle 151908),,4.73
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Blaze Pizza Visitors - Banner,Quoru87,0.0
2025-09-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066519 - Optimum Media - Multiple Brands - CTV SmartPMP - US -CTV PoliticalCompliant,Audig1774,0.0
2025-03-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,Octillion Deal - CTV - Hispanic,649700474243,6294.17
2025-03-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,Octillion Deal - CTV - Paramount - Bundles,976384276767,69.87
2025-12-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Fingerlakes Gaming 2025,332440817016,0.06
2025-02-01,Open Auction - BFM,Media Pulse,—,Media Pulse - CTV (TEGNA & Paramount US $8),,0.0
2026-01-01,DSP Marketplace - BFM,Octillion,BFM Internal,Octillion Deal - CTV - HGTV - Network Adjust,747279147158,1549.75
2025-03-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive - CTV - A&E Networks - Networks - Adjusted,MH2,6.82
2026-05-01,Select - BFM,TheTradeDesk,Strategus,TTD - Strategus - CTV - $14 and Below,STRAT003,1.5
2025-06-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant Newsy CTV (202814),,3.22
2025-06-01,DSP Marketplace - BFM,DeepIntent,Beachfront Deal Curation,DeepIntent - CTV - Sports (genre),461410362718,119.35
2025-06-01,Open Auction - BFM,Promo-PSA,—,Test Ad: PSA :30 (stoptextsstopwrecks) #20,,0.0
2025-11-01,Select - BFM,DV360,Quorum,Quorum > Travelers > Physical Visitors,Quoru232,0.0
2026-06-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - APP,,0.22
2026-06-01,Open Auction - BFM,Bidswitch,—,Bidswitch - CTV (AMC),,0.0
2026-06-01,DSP Marketplace - BFM,Epsilon (Conversant),BFM Internal,Conversant Deal - InApp - RON,116367070037,242.99
2026-02-01,Open Auction - BFM,OTT Advisors (Demand),—,OTT Advisors Deal - DT - Live Sports (Washington DC),,0.0
2025-05-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - CTV - 1st Price (Bundle 151908),,47.94
2025-11-01,Open Auction - BFM,Pubmatic,—,0,,0.0
2025-03-01,Select - BFM,SimpliFi,IRIS,IRIS.TV - Simpli.fi Political AOD - Republicans_BFM,IRIS00041,2.97
2025-10-01,Select - BFM,TheTradeDesk,Strategus,Strategus - TTD Deal - HolidayChristmas Movies - CTV,Strat3113031555,0.0
2025-02-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - Fuse TV,187878729747,0.07
2025-03-01,Open Auction - BFM,Samsung DSP,—,Bidswitch - MW [Display],,0.0
2025-08-01,DSP Marketplace - BFM,Viant,—,Viant - Linear (Sports),598949723631,358.0
2025-02-01,DSP Marketplace - BFM,Beeswax,—,Beeswax Deal - CTV - Political (No Approval),426834991759,3.88
2026-03-01,Select - BFM,Viant,IRIS,IRIS.TV - Viant - College Basketball CTV_BFM,IRIS00309,277.99
2025-07-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - OTT - Skechers 2025 - Men 45+ - Sports,343798267566,163.88
2025-07-01,Select - BFM,TheTradeDesk,Media Culture,INSP,Media14,238.1
2025-07-01,Open Auction - BFM,Adtelligent,—,Adtelligent - CTV,,16.62
2025-05-01,DSP Marketplace - BFM,Viant,—,D3_CTV_$6.5_RON_030725,567226096288,0.0
2025-12-01,Select - BFM,Viant,Quorum,Quorum Optimized > Viant > High Index Zips - Shopping Mall Visitors - Banner,Quoru182,0.0
2025-05-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD - CTV - Captify $15 Below,730946633654,9207.11
2026-01-01,Open Auction - BFM,Viant,—,Viant - Linear (Women),,0.0
2025-11-01,DSP Marketplace - BFM,Infillion,Beachfront Deal Curation,Bidswitch Deal - Infillion -  CTV/InApp - FEP/CTV $10 and below (Average Clearing Pice),223910661417,34020.43
2026-02-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Golf - CTV - Contextual - Tentpole Deal - Conversant,Beach135,0.87
2025-10-01,DSP Marketplace - BFM,DeepIntent,Beachfront Deal Curation,DeepIntent - OLV - High CTR,603676934637,14.55
2026-03-01,Open Auction - BFM,Excelate,—,Bidswitch - APP Display,,0.0
2025-04-01,DSP Marketplace - BFM,Octillion,BFM Internal,Octillion Deal - CTV - HGTV - Network Adjust,747279147158,85.98
2026-06-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Sustainability & Energy Experts - Connected TV,STNXCTV003,0.0
2025-11-01,Select - BFM,Quantcast,Quorum,Quorum > DIY Home Renovators > Physical Visitors,Quoru193,0.0
2026-06-01,Open Auction - BFM,—,—,F0047107 COBERTURA CHEQUIA VS MEXICO DIA 30,,0.0
2026-02-01,Select - BFM,Bidswitch,Quorum,Quorum > Pet Lovers > Physical Visitors,Quoru230,0.0
2025-07-01,Open Auction - BFM,—,—,Bidswitch - Seedtag,,0.0
2025-03-01,Open Auction - BFM,Viant,—,Viant PG Deal - CTV - Draftkings,,0.0
2025-08-01,Select - BFM,—,Strategus,Strategus CTV RON,300416284256,0.0
2025-09-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - APP Display,,0.0
2025-09-01,Open Auction - BFM,—,—,2508 - MGMPLUS - INSTITUTE S1 PROMO - MGMPHD363209 - MOVIES,,4.14
2025-01-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - Hearst,976376076663,191.31
2025-01-01,DSP Marketplace - BFM,Bidswitch,—,Roku Deal - CTV (Political Networks - Conservative) (Pub Targeted) (MiQ),550906806175,0.0
2025-01-01,Open Auction - BFM,TheTradeDesk,—,TTD Deal - CTV - CMI - iCTV Supply,,0.0
2025-06-01,Open Auction - BFM,TheTradeDesk,—,TTD - Desktop - 1st Price (HB),,7917.47
2025-02-01,Open Auction - BFM,Bidswitch,—,Bidswitch - Seedtag,,8.44
2026-03-01,Open Auction - BFM,Adtheorent,—,Ad Theorent - Desktop/MW - 1st Price,,3465.02
2025-04-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Deal - CTV - MLB,638100075104,2.22
2025-04-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Guilty Pleasure Moment,Aki13,15.82
2025-04-01,Select - BFM,TheTradeDesk,Media Culture,ION Live,Media10,0.0
2026-04-01,Select - BFM,Yahoo DSP,Camelot,PMG - LG Ads,PMGLGAds,13133.79
2026-04-01,Open Auction - BFM,—,—,2604 - MGMPLUS - AMERICAN CLASSIC PROMO - MGMPHD363418 - SERIES,,100.68
2026-05-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - CTV - 1st Price,,15456.42
2025-03-01,Open Auction - BFM,Bidswitch,—,Bidswitch Deal - CTV - Roku - MIQ - CA CTV (RON),,0.0
2025-03-01,Open Auction - BFM,Bidswitch,—,T-Ads_Display_Beachfront_Multipub_$0.5,,0.0
2025-03-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV - A&amp;E,409312721336,2.97
2026-05-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Beeswax - SuperAwesome - Nickelodeon - CTV Deal,Beach249,0.0
2025-06-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,Octillion Deal - CTV - Filmrise,747279147182,17.31
2025-06-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Migration,StackAdapt Deal - CTV - Hispanic Audience,160021598282,478.51
2026-06-01,Open Auction - BFM,Viant,—,Viant - Linear (Sports),,0.0
2025-08-01,Open Auction - BFM,Walmart,—,TTD - MW - 1st Price (HB),,66.72
2025-11-01,Select - BFM,TheTradeDesk,Infillion Demand,ez cater | HR Leaders | CTV,ezCBizInfilBeachHRVidCTV,0.0
2025-04-01,DSP Marketplace - BFM,4INFO,—,Cadent_FOX_Sports_PMP,893559554853,0.0
2026-01-01,Open Auction - BFM,Yahoo DSP,—,Yahoo - CTV - Open Auction,,1686.28
2025-04-01,Open Auction - BFM,Viant,—,Viant - APP,,8829.48
2026-03-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Warner Bros Channels & Networks,742050964622,501.62
2025-04-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - Live Sports - Political,BFMSA004,1.93
2025-09-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Travel - CTV - Tentpole Deal - VideoAmp,Beach155,13.07
2025-04-01,Open Auction - BFM,MadHive,—,MadHive Deal - CTV (Sports),,0.0
2025-07-01,Open Auction - BFM,StackAdapt,—,StackAdapt - CTV - Open Auction,,67040.18
2026-02-01,DSP Marketplace - BFM,Beeswax,—,Beeswax Deal - CTV - Anoki - RON - $12,996138804224,5459.77
2026-02-01,Open Auction - BFM,Viant,—,Viant - CTV - 1st Price,,164312.01
2025-10-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,Simpli.Fi Deal - CTV - Halloween,647809313692,0.0
2025-09-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,Simpli.Fi Deal - CTV - SportsGrid,133806220723,0.19
2025-10-01,Select - BFM,TheTradeDesk,IRIS,IRIS.TV - Q11 Crunch - Contextual CTV_BFM,IRIS00244,6585.96
2025-08-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - Fubo CTV (Entertainment),BFM063,20.2
2025-09-01,Select - BFM,TheTradeDesk,Strategus,Strategus Deal - CTV - $15-$17.99,Strat33,0.0
2025-02-01,Open Auction - BFM,Aceex,—,*DNU* Aceex - News - Web Preroll - TEGNASOURCED 090924,,0.0
2025-02-01,Open Auction - BFM,Adtheorent,—,Ad Theorent - APP Video (LQPS Audit),,0.55
2025-07-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Magnolia and HGTV - CTV - Viant Deal,738509621475,3.79
2025-07-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Migration,Basis Deal - Minority Owned CTV,BFM027,40.25
2025-06-01,DSP Marketplace - BFM,Yahoo DSP,Beachfront Deal Curation,New Media Video RON - Yahoo,319942045448,3.01
2025-05-01,Open Auction - BFM,Basis Technologies,—,Centro Display InApp,,7102.93
2026-05-01,Select - BFM,TheTradeDesk,Chief Media,Live Baseball - Walmart DSP - Charter Only,Chief20,0.0
2025-12-01,Select - BFM,Viant,Quorum,Quorum Optimized > Viant > High Index Zips - McDonald's Visitors - Banner,Quoru55,0.0
2025-06-01,Open Auction - BFM,Octillion,—,Octillion Deal - CTV - Revry,,0.0
2026-02-01,DSP Marketplace - BFM,JamLoop OpenRTB,Beachfront Deal Curation,JamLoop - Winter Olympics Coverage - CTV,561084972336,530.0
2026-03-01,Select - BFM,TheTradeDesk,Strategus,Strategus - TTD - March Madness - CTV Deal,Strat84,0.0
2025-05-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Kids and Family,Beach169,0.0
2025-07-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - TEGNA,976384276674,0.35
2025-07-01,DSP Marketplace - BFM,StackAdapt,—,StackAdapt Deal - CTV (Sports),884791415032,8.24
2025-03-01,DSP Marketplace - BFM,SimpliFi,—,Simpli.Fi Deal - CTV - Political Allowed (TEGNA),420531083816,6.27
2026-02-01,Open Auction - BFM,IPONWEB BidCore,—,Bidswitch - MW [Display],,0.0
2025-06-01,Open Auction - BFM,TheTradeDesk,—,TTD Deal - CTV (MIQ Mexico CTV),,0.0
2025-10-01,Open Auction - BFM,—,—,F0041063 UEL MULTICHANNEL J1 1PM 23 OCTUBRE 20,,0.0
2025-09-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Curation,Strategus - Food & Drink Contextual Deal - $17 CPM,Strat3548981493,0.0
2025-01-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,Simpli.Fi Deal - CTV - WURL,938325696044,0.12
2025-01-01,DSP Marketplace - BFM,SimpliFi,—,Simplifi Deal - App/Web (Small-Screen OTT),546471010694,274.66
2025-10-01,Open Auction - BFM,TheTradeDesk,—,TTD - APP,,11835.08
2026-03-01,DSP Marketplace - BFM,Epsilon (Conversant),—,Conversant Deal - InApp - RON,116367070037,108.29
2025-04-01,DSP Marketplace - BFM,Viant,—,Viant Deal - CTV - Live Sports,583805358485,154.18
2025-08-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - OpAd Media - AMC en Espanol CTV,298129641956,4.5
2025-02-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - MIQ - EW Scripps CTV,960209121865,21.66
2025-05-01,Select - BFM,DV360,IRIS,IRIS.TV - OMD - National Guard - Sentiment CTV_BFM,IRIS00270,3.61
2025-05-01,DSP Marketplace - BFM,JamLoop OpenRTB,Beachfront Deal Curation,JamLoop Deal - OLV - Kiowa Casino Zip List -,793150864644,0.0
2025-12-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive - CTV - Pluto Bundle Override (Price Targeted),MH32,0.0
2025-11-01,Select - BFM,TheTradeDesk,Infillion Demand,ez cater | Business Professionals | CTV,ezCBizInfilBeachVidCTV,0.0
2026-01-01,Open Auction - BFM,StackAdapt,—,StackAdapt - CTV - Open Auction,,143534.93
2025-05-01,DSP Marketplace - BFM,Bidswitch,—,T-Ads_CTV_Beachfront_Philo_$14,208381486364,0.0
2025-05-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Bidswitch Deal - Roku - CTV - RON (Always On) - SPF,493961542654,0.0
2025-05-01,Open Auction - BFM,Walmart,—,TTD - CTV (1st Price),,9494.18
2025-11-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Acura Dealership Visitors - CTV,Quoru108,0.13
2025-04-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Migration,Basis Deal - CTV RON - $10 Floor,893090891708,1189.12
2025-04-01,Open Auction - BFM,Basis Technologies,—,Basis Deal - CTV (A+E Networks),,0.0
2025-06-01,Select - BFM,TheTradeDesk,Media Culture,NewsMax,Media23,97.6
2025-11-01,Open Auction - BFM,—,—,F0022311 UFC MARCA GENÉRICA 2025-1 30,,0.0
2025-03-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant  Newsy VIZIO CTV (203829),,0.44
2025-06-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,Simplifi Deal - OLV (Cannabis),403635039517,0.52
2025-09-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,GroundTruth Deal - Mobile Web - Always On - Display,Beach188,0.03
2025-02-01,Open Auction - BFM,Adtheorent,—,Ad Theorent - APP Video 1st Price,,515.93
2025-07-01,Select - BFM,Bidswitch,33Across,33Across Deal - Display - RTB House - Travel,33Acr16,0.0
2025-07-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV (P)-SPF,430109082311,14809.94
2025-08-01,DSP Marketplace - BFM,4INFO,—,Cadent_DIRECTV_PMP,891134562095,0.0
2025-08-01,DSP Marketplace - BFM,JamLoop OpenRTB,BFM Internal,Jamloop Deal - CTV - Network-Override-NBC,JL001,1334.02
2026-01-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV (P)-SPF,430109082311,4048.22
2026-05-01,Select - BFM,TheTradeDesk,IRIS,IRIS.TV - Q11 - Revitalash Contextual CTV_BFM,IRIS00327,344.33
2025-02-01,DSP Marketplace - BFM,JamLoop OpenRTB,BFM Internal,Jamloop Deal - CTV - Frndly - CatchyComedy - Adjust,205969889099,0.65
2025-09-01,Open Auction - BFM,Marketing Architects -RTB,—,0,,0.0
2025-08-01,DSP Marketplace - BFM,StackAdapt,—,StackAdapt Deal - CTV - A&E (Pub Only),679382125032,315.47
2026-02-01,Open Auction - BFM,Viant,—,Viant - Linear (Sports),,0.0
2025-11-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,Simpli.Fi Deal - CTV - Thanksgiving,503894398514,0.0
2025-04-01,Open Auction - BFM,Yahoo DSP,—,Yahoo - CTV - Open Auction,,6404.24
2025-05-01,DSP Marketplace - BFM,DV360,—,Bidswitch Deal - CTV - Local News (Deals Discovery),179348574202,1.65
2026-04-01,Open Auction - BFM,—,—,F0044989 FGM JUEVES Y DOMINGO GENERICA 20,,0.0
2026-01-01,Open Auction - BFM,—,—,Bidswitch - MW - 1st Price (HB),,0.0
2026-03-01,Open Auction - BFM,—,—,F0045163 MASL MULT BALT VS KAN FS2 ST LOU VS TACO FS3 SABADO 20,,0.0
2026-01-01,Open Auction - BFM,Knorex,—,Bidswitch - Desktop - 1st Price (HB),,0.0
2025-04-01,Open Auction - BFM,TheTradeDesk,—,Display test TAM 20$,,0.0
2025-12-01,Open Auction - BFM,Samsung DSP,—,Bidswitch - Desktop - 1st Price (HB),,0.06
2025-11-01,DSP Marketplace - BFM,Bidswitch,—,Quorum Test,TEST,0.0
2025-01-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - AMC Networks - Political,346689052286,0.03
2025-01-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Curation,TTD Deal - HavasEdge - CTV (Hearst News),312505503259,0.0
2025-01-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - In Market Subaru - CTV,551196808383,321.73
2025-01-01,Open Auction - BFM,Xandr,—,(0319) Xandr Deal - CTV - Hotmart - Innovid Test,,0.0
2025-06-01,Open Auction - BFM,Walmart,—,TTD - CTV (Charter),,42.3
2025-04-01,Select - BFM,TheTradeDesk,Chief Media,TTD - Chief Media - Walmart - CTV - Pub Targeting - Deal,476519491695,0.0
2025-11-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,Octillion Deal - CTV - EW Scripps,976384276675,25871.01
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Shopping Mall Visitors - Banner,Quoru38,0.0
2025-09-01,Select - BFM,Yahoo DSP,Audigent,PMG & Beachfront - SDEAL-21051 - PMG - PMG - PMG - ctv SmartPMP - Aggregated FICO Score 640 or more – Equifax US,Audig1762,0.0
2025-03-01,Open Auction - BFM,Metax,—,MetaX A&amp;E Networks $16,,0.0
2025-03-01,Select - BFM,Yahoo DSP,Camelot,Hardees - IRIS - Yahoo - Sports,BFIRISYAHOOHARDEESSPORTS,0.0
2025-02-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Migration,Basis Deal - Hispanic CTV,532371564041,4277.69
2025-07-01,Open Auction - BFM,Walmart,—,TTD - APP [Display],,4000.85
2025-05-01,DSP Marketplace - BFM,Viant,Beachfront Deal Migration,Viant Deal - CTV - Content Object Removed,918860075162,3689.73
2025-09-01,DSP Marketplace - BFM,MadHive,Beachfront Deal Curation,0,983264025678,0.0
2026-05-01,DSP Marketplace - BFM,SmartyAds,Beachfront Deal Curation,SmartyAds - Mother's Day - 2026 Deal,Beach261,0.29
2026-05-01,DSP Marketplace - BFM,SmartyAds,Beachfront Deal Curation,SmartyAds - Sport Hockey - 2026 Deal,Beach255,0.0
2025-04-01,Select - BFM,SimpliFi,Mavern Media,Holiday Movie Buffs - Simpli.fi - CTV,Maver7,0.0
2026-06-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,SamsungAds Efficiency Line (copy),"703770154228, 314668390400",0.0
2025-02-01,DSP Marketplace - BFM,Viant,—,Viant - Linear ($2 Spot),669366982181,0.0
2025-11-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - EW Scripps - Vegas Golden Knights,612418020365,362.08
2025-05-01,Open Auction - BFM,Infillion,—,Bidswitch - Desktop - 1st Price (HB),,0.13
2025-04-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV (P)-SPF,430109082311,196869.32
2025-02-01,Open Auction - BFM,Infillion,—,Bidswitch - APP 1st Price,,0.37
2025-02-01,Open Auction - BFM,Bidswitch,—,Bidswitch - CTV (Charter),,0.0
