quarter,connection_type,business_line,product_category,dsp_group_name,channel_id,rev_gross,impressions
2026-01-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,464470.29,1442836456
2025-01-01,Direct,DSP Marketplace - BFM,CTV,Basis Technologies,Basis Technologies,454498.99,24559751
2025-04-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,445976.62,278941356
2026-01-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,438425.13,19986643
2025-10-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,436651.39,19309537
2025-01-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,434203.31,
2026-01-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,432659.89,71732430
2025-04-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,431115.31,38921496
2025-04-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,430007.62,137900677
2025-04-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,423222.71,20211360
2025-10-01,Direct,Open Auction - BFM,CTV,StackAdapt,StackAdapt,417392.17,52537154
2025-04-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,414726.78,31168187
2026-01-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,407624.97,579106325
2025-10-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,406620.52,266170034
2026-07-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,404420.89,47623695
2026-07-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,403967.47,22092857
2025-07-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,400936.31,388956688
2026-07-01,Direct,Open Auction - BFM,CTV,StackAdapt,StackAdapt,395048.38,49770954
2026-07-01,Direct,PMP Web - O&O,Display,TheTradeDesk,TheTradeDesk,393225.97,80662248
2025-04-01,Direct,Select - BFM,CTV,Yahoo DSP,Yahoo DSP,391175.75,56955624
2026-04-01,Direct,Open Auction - Seedtag,Native,StackAdapt,StackAdaptDSP,390889.15,236305130
2026-01-01,Direct,PMP Web - O&O,Online Video,TheTradeDesk,TheTradeDesk,386330.57,49700808
2026-04-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,382477.77,41824998
2025-07-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,382358.74,586475768
2025-01-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,377784.6,33659678
2025-07-01,Direct,Select - BFM,CTV,Yahoo DSP,Yahoo DSP,377720.95,42394738
2025-04-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,375216.1,181670396
2026-04-01,Direct,Open Auction - BFM,CTV,Beeswax,Beeswax,375213.38,39509235
2025-01-01,Direct,DSP Marketplace - BFM,CTV,JamLoop OpenRTB,JamLoop OpenRTB,371539.15,40776589
2025-01-01,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,Outbrain,371290.14,
2026-01-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,370124.48,358991095
2025-07-01,Direct,Open Auction - BFM,CTV,Conversant,Epsilon (Conversant),361204.15,147883441
2025-07-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,356726.78,17788403
2025-07-01,Direct,DSP Marketplace - BFM,CTV,Basis Technologies,Basis Technologies,351489.69,17521410
2025-10-01,Direct,Open Auction - Seedtag,Native,MSAN,AppNexus,351026.83,475872126
2026-07-01,BidSwitch,Open Auction - Seedtag,Online Video,DV360,DBM,349688.11,417284049
2025-04-01,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,Outbrain,349513.34,91954479
2025-01-01,Direct,PMP CTV - O&O,CTV,TheTradeDesk,TheTradeDesk,348825.95,14920987
2025-10-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,339629.22,29978111
2026-04-01,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,Outbrain,332688.15,978723769
2025-04-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,318833.63,24970461
2025-01-01,Direct,Select - BFM,CTV,TheTradeDesk,TheTradeDesk,316055.14,35980859
2026-01-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,315841.69,23201826
2026-04-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,310397.72,26712616
2025-01-01,BidSwitch,Open Auction - Seedtag,Display,Sportradar,Sportradar,307832.05,
2026-07-01,Direct,Open Auction - Seedtag,Display,StackAdapt,StackAdaptDSP,301562.87,282192377
2026-01-01,BidSwitch,Open Auction - Seedtag,Display,Sportradar,Sportradar,301173.67,853982395
2025-01-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,291897.41,
2026-04-01,Direct,Open Auction - Seedtag,Online Video,StackAdapt,StackAdaptDSP,288799.89,130330622
2026-04-01,Direct,Open Auction - Seedtag,Display,Nexxen,Nexxen,282198.2,337353193
2025-07-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,277327.52,10443112
2025-10-01,Direct,Select - BFM,CTV,Yahoo DSP,Yahoo DSP,275695.52,20302095
2026-07-01,Direct,Open Auction - Seedtag,Display,RtbHouse,RtbHouse,274342.68,319046348
2025-07-01,Direct,DSP Marketplace - BFM,CTV,Viant,Viant,274110.24,21928046
2025-10-01,BidSwitch,Open Auction - Seedtag,Display,NextRoll,NextRoll,272211.71,636588307
2025-04-01,Direct,Open Auction - Seedtag,Display,Xandr,AppNexus,267961.71,845154962
2025-10-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,263496.76,18369011
2025-04-01,Direct,Open Auction - BFM,CTV,Conversant,Epsilon (Conversant),263186.53,71422775
2025-01-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,262019.19,23042246
2025-10-01,Direct,Open Auction - Seedtag,Display,Nexxen,Nexxen,258760.13,309136566
2025-10-01,Direct,DSP Marketplace - BFM,CTV,Beeswax,Beeswax,255867.12,16784157
2025-01-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,252329.25,
2026-01-01,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,Outbrain,252257.89,640244941
2025-04-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,247408.42,12924751
2026-01-01,BidSwitch,Open Auction - Seedtag,Display,NextRoll,NextRoll,245742.63,1443158520
2026-04-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,245665.76,18298401
2025-01-01,Direct,DSP Marketplace - BFM,CTV,MadHive,MadHive,239158.32,31957806
2025-04-01,Direct,Open Auction - BFM,CTV,Basis Technologies,Basis Technologies,238539.06,31523551
2026-01-01,Direct,Open Auction - BFM,CTV,Beeswax,Beeswax,235245.31,20492601
2025-01-01,Direct,Open Auction - BFM,CTV,Conversant,Epsilon (Conversant),234580.91,36563279
2025-10-01,Direct,DSP Marketplace - BFM,CTV,Basis Technologies,Basis Technologies,233102.64,14093461
2026-07-01,Direct,Open Auction - Seedtag,Online Video,TheTradeDesk,TheTradeDesk,232604.72,307324367
2025-04-01,Direct,Open Auction - BFM,CTV,SimpliFi,SimpliFi,230927.48,31372626
2026-04-01,Direct,Open Auction - Seedtag,Online Video,Nexxen,Nexxen,229422.14,160642969
2026-01-01,Direct,PMP CTV - O&O,CTV,Viant,Viant,227915.44,14557371
2026-04-01,BidSwitch,Open Auction - Seedtag,Display,DV360,GDN,226145.79,205159838
2025-10-01,Direct,Open Auction - BFM,CTV,Beeswax,Beeswax,226040.69,19427960
2025-10-01,Direct,Open Auction - BFM,CTV,LoopMe,LoopMe,225723.31,26842985
2025-04-01,BidSwitch,Open Auction - Seedtag,Display,Sportradar,Sportradar,223248.04,101558422
2026-01-01,Direct,Open Auction - Seedtag,Native,Opera,Opera,222595.38,282554687
2025-01-01,Direct,Open Auction - BFM,CTV,Marketing Architects,Marketing Architects -RTB,220207.93,36830924
2026-07-01,Direct,Open Auction - Seedtag,Display,TheTradeDesk,TheTradeDesk,219050.12,515583698
2025-07-01,Direct,Open Auction - BFM,CTV,StackAdapt,StackAdapt,217494.03,24959012
2026-04-01,BidSwitch,PMP Web - O&O,Online Video,DV360,DBM,211122.6,28525577
2025-04-01,Direct,Open Auction - Seedtag,Display,Nexxen,Nexxen,210822.47,113176712
2026-07-01,Direct,Open Auction - Seedtag,Native,StackAdapt,StackAdaptDSP,208199.68,148438412
2025-10-01,BidSwitch,Open Auction - Seedtag,Display,Sportradar,Sportradar,207586.32,368485009
2026-07-01,Direct,Open Auction - BFM,CTV,Pubmatic,Pubmatic,206858.65,27618545
2026-01-01,Direct,Open Auction - Seedtag,Display,Xandr,AppNexus,206091.0,1438504051
2026-07-01,Direct,Open Auction - BFM,CTV,Beeswax,Beeswax,204040.03,12911315
2026-07-01,Direct,Open Auction - BFM,CTV,Viant,Viant,202445.32,30979005
2025-10-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,199592.83,359308240
2026-04-01,BidSwitch,Open Auction - Seedtag,Display,Sportradar,Sportradar,198761.45,395504896
2026-01-01,Direct,Select - BFM,CTV,TheTradeDesk,TheTradeDesk,197901.6,21029179
2025-10-01,Direct,Open Auction - Seedtag,Native,Opera,Opera,197110.01,189816175
2026-04-01,Direct,Select - BFM,CTV,TheTradeDesk,TheTradeDesk,195865.12,21620698
2025-07-01,Direct,Open Auction - Seedtag,Native,MSAN,AppNexus,195782.87,543243063
2026-04-01,BidSwitch,Open Auction - Seedtag,Display,NextRoll,NextRoll,195762.14,1314198640
2025-07-01,Direct,Open Auction - BFM,CTV,Basis Technologies,Basis Technologies,191060.11,24685248
2025-07-01,Direct,Open Auction - BFM,CTV,SimpliFi,SimpliFi,190985.55,28890488
2025-10-01,Direct,Open Auction - BFM,CTV,Basis Technologies,Basis Technologies,189267.98,27661577
2025-10-01,Direct,DSP Marketplace - BFM,CTV,Octillion,Octillion,186074.81,8171118
2025-10-01,Direct,Open Auction - BFM,CTV,Conversant,Epsilon (Conversant),185175.56,75848137
2025-10-01,Direct,Select - BFM,CTV,TheTradeDesk,TheTradeDesk,183040.93,20684302
2025-04-01,BidSwitch,Open Auction - BFM,CTV,Zeta DSP,Zeta DSP,181986.45,27288203
2025-10-01,Direct,DSP Marketplace - BFM,CTV,Conversant,Epsilon (Conversant),180358.1,18602402
2025-07-01,BidSwitch,Open Auction - Seedtag,Display,Sportradar,Sportradar,178062.86,345652886
2026-07-01,Direct,Open Auction - BFM,CTV,Amobee,Amobee,177229.8,20829838
2025-01-01,BidSwitch,DSP Marketplace - BFM,CTV,Zeta DSP,Zeta DSP,176075.91,12129682
2025-01-01,Direct,DSP Marketplace - BFM,CTV,Octillion,Octillion,175316.2,8618467
2026-07-01,BidSwitch,PMP CTV - O&O,CTV,DV360,DV360,174373.49,9065533
2026-04-01,BidSwitch,PMP Web - O&O,Display,DV360,DBM,173038.15,50233441
2025-01-01,Direct,Open Auction - Seedtag,Native,Opera,Opera,172954.46,
2026-04-01,Direct,Open Auction - Seedtag,Display,Xandr,AppNexus,172761.06,944856114
2025-04-01,Direct,Open Auction - BFM,CTV,Marketing Architects,Marketing Architects -RTB,169088.25,34317379
2026-01-01,Direct,Select - BFM,CTV,Yahoo DSP,Yahoo DSP,168682.54,19541600
2025-01-01,Direct,Open Auction - BFM,CTV,Beeswax,Beeswax,168298.01,17428227
2026-01-01,Direct,Open Auction - BFM,CTV,Amobee,Amobee,166137.93,24729981
2026-07-01,Direct,Open Auction - Seedtag,Native,Outbrain/Teads,Outbrain,165915.66,534761570
2025-07-01,Direct,Open Auction - BFM,CTV,Beeswax,Beeswax,161297.61,17188895
2025-10-01,Direct,Open Auction - BFM,CTV,Amobee,Amobee,160900.29,22242185
2026-01-01,Direct,Open Auction - Seedtag,Display,Nexxen,Nexxen,159099.7,483430981
2025-04-01,Direct,Open Auction - Seedtag,Display,MSAN,AppNexus,158997.74,404682209
2026-04-01,Direct,Open Auction - Seedtag,Native,Opera,Opera,157595.43,205558782
2025-07-01,Direct,DSP Marketplace - BFM,CTV,MadHive,MadHive,157076.51,17926242
2025-01-01,Direct,Select - BFM,CTV,Yahoo DSP,Yahoo DSP,156592.29,12253620
2025-01-01,BidSwitch,Open Auction - BFM,CTV,Zeta DSP,Zeta DSP,156287.54,15449303
2025-01-01,Direct,Open Auction - Seedtag,Display,Nexxen,Nexxen,155705.75,
2025-01-01,Direct,Open Auction - BFM,CTV,Basis Technologies,Basis Technologies,151798.73,21531235
2026-01-01,Direct,Open Auction - BFM,CTV,Marketing Architects,Marketing Architects -RTB,150945.65,31815858
2026-01-01,Direct,DSP Marketplace - BFM,CTV,StackAdapt,StackAdapt,149130.95,12108877
2025-04-01,Direct,DSP Marketplace - BFM,CTV,MadHive,MadHive,148805.64,18187270
2026-07-01,Direct,Open Auction - BFM,CTV,TheTradeDesk,TheTradeDesk,142188.5,15468084
2025-10-01,BidSwitch,Open Auction - BFM,CTV,DV360,DV360,142151.14,28864121
2025-10-01,Direct,DSP Marketplace - BFM,CTV,SimpliFi,SimpliFi,141050.16,11079984
2025-10-01,Direct,Open Auction - Seedtag,Online Video,Nexxen,Nexxen,140732.57,111002495
2025-04-01,Direct,DSP Marketplace - BFM,CTV,Octillion,Octillion,139489.53,6696379
2026-01-01,Direct,Open Auction - Seedtag,Online Video,Nexxen,Nexxen,139432.45,184121147
2026-07-01,Direct,Open Auction - Seedtag,Display,Nexxen,Nexxen,139421.43,159899066
2026-07-01,Direct,Open Auction - Seedtag,Online Video,StackAdapt,StackAdaptDSP,139019.87,66761081
2026-04-01,Direct,DSP Marketplace - BFM,CTV,Beeswax,Beeswax,138454.62,8766276
2025-07-01,Direct,Open Auction - Seedtag,Display,Nexxen,Nexxen,136079.93,234436323
2026-04-01,Direct,DSP Marketplace - BFM,CTV,GroundTruth,GroundTruth,135827.13,13851194
2026-04-01,Direct,Open Auction - BFM,CTV,Amobee,Amobee,135177.92,17207052
2025-07-01,Direct,Open Auction - Seedtag,Native,Opera,Opera,133909.26,105807369
2025-07-01,BidSwitch,Open Auction - BFM,CTV,DV360,DV360,132389.27,43182673
2025-07-01,Direct,Open Auction - BFM,CTV,LoopMe,LoopMe,131955.98,19466132
2025-10-01,Direct,DSP Marketplace - BFM,CTV,MadHive,MadHive,131772.55,12588477
2026-01-01,Direct,DSP Marketplace - BFM,CTV,GroundTruth,GroundTruth,130326.5,12969177
2026-07-01,Direct,Open Auction - Seedtag,Display,Outbrain/Teads,Outbrain,129783.81,327301322
2025-07-01,Direct,DSP Marketplace - BFM,CTV,Octillion,Octillion,129637.49,5701939
2025-04-01,Direct,Open Auction - BFM,CTV,StackAdapt,StackAdapt,129245.99,14935417
2026-01-01,BidSwitch,Open Auction - BFM,CTV,Zeta DSP,Zeta DSP,127223.91,11601122
2025-10-01,Direct,Open Auction - Seedtag,Native,TheTradeDesk,TheTradeDesk,126294.88,266693660
2025-10-01,Direct,DSP Marketplace - BFM,CTV,StackAdapt,StackAdapt,126259.16,9790470
2025-10-01,Direct,Open Auction - BFM,CTV,Yahoo DSP,Yahoo DSP,125539.99,11012958
2025-10-01,BidSwitch,PMP Web - O&O,Display,DV360,DBM,124472.15,26501536
2026-04-01,Direct,Select - BFM,CTV,Yahoo DSP,Yahoo DSP,124067.15,14684313
2025-07-01,Direct,Open Auction - BFM,CTV,Marketing Architects,Marketing Architects -RTB,123788.49,26156093
2025-10-01,Direct,Open Auction - BFM,CTV,Lemma DSP,Lemma DSP,123546.76,20889543
2026-04-01,Direct,Open Auction - Seedtag,Online Video,Conversant,Conversant,122037.25,64619628
2026-04-01,Direct,DSP Marketplace - BFM,CTV,StackAdapt,StackAdapt,121529.18,9773716
2026-01-01,Direct,DSP Marketplace - BFM,CTV,MadHive,MadHive,120337.28,13289072
2025-10-01,Direct,Open Auction - BFM,CTV,SimpliFi,SimpliFi,119492.25,17879455
2026-04-01,Direct,DSP Marketplace - BFM,CTV,Conversant,Epsilon (Conversant),119073.28,14768992
2026-01-01,Direct,Open Auction - BFM,CTV,Basis Technologies,Basis Technologies,116818.34,18987172
2025-07-01,Direct,Open Auction - Seedtag,Online Video,Illumin,Illumin,112887.42,81795515
2026-04-01,Direct,PMP CTV - O&O,CTV,Viant,Viant,108264.37,6492888
2025-10-01,Direct,Open Auction - Seedtag,Native,Xandr,AppNexus,108195.74,271390114
2025-10-01,Direct,Open Auction - BFM,CTV,Sharethrough,Sharethrough,107263.89,16988483
2026-01-01,Direct,DSP Marketplace - BFM,CTV,Conversant,Epsilon (Conversant),107094.9,12724091
2025-07-01,BidSwitch,Open Auction - Seedtag,Display,NextRoll,NextRoll,104950.88,154916682
2025-01-01,BidSwitch,PMP Web - O&O,Display,DV360,DBM,104518.86,
2025-07-01,Direct,DSP Marketplace - BFM,CTV,Beeswax,Beeswax,104356.92,7528480
2025-04-01,BidSwitch,PMP Web - O&O,Display,DV360,DBM,103224.93,12124795
2025-04-01,Direct,Open Auction - BFM,CTV,Beeswax,Beeswax,103052.06,14871595
2025-04-01,Direct,Open Auction - Seedtag,Native,Opera,Opera,101199.8,61908521
2025-01-01,Direct,DSP Marketplace - BFM,CTV,StackAdapt,StackAdapt,99373.04,6570806
2025-07-01,Direct,Open Auction - Seedtag,Native,Xandr,AppNexus,99289.61,363335781
2026-01-01,Direct,DSP Marketplace - BFM,CTV,Octillion,Octillion,98943.88,5572544
2025-10-01,Direct,Open Auction - Seedtag,Online Video,Xandr,AppNexus,98843.62,183857374
2026-01-01,Direct,DSP Marketplace - BFM,CTV,Beeswax,Beeswax,98745.99,6920374
2026-01-01,Direct,Open Auction - Seedtag,Online Video,StackAdapt,StackAdaptDSP,98458.07,61709825
2025-07-01,BidSwitch,Open Auction - BFM,CTV,Zeta DSP,Zeta DSP,98192.89,12496082
2025-04-01,Direct,Open Auction - BFM,CTV,GroundTruth,GroundTruth,97959.22,13601335
2026-04-01,Direct,DSP Marketplace - BFM,CTV,Octillion,Octillion,97840.05,7623476
2026-01-01,Direct,Open Auction - Seedtag,Display,StackAdapt,StackAdaptDSP,96992.02,83561257
2025-04-01,Direct,Open Auction - Seedtag,Online Video,RtbHouse,RtbHouse,96555.57,18661791
2025-10-01,Direct,Open Auction - BFM,CTV,Marketing Architects,Marketing Architects -RTB,94812.21,19880731
2026-07-01,Direct,DSP Marketplace - BFM,CTV,TheTradeDesk,TheTradeDesk,94525.77,7968832
2025-01-01,BidSwitch,Open Auction - BFM,CTV,DV360,DV360,93911.24,10983988
2025-10-01,Direct,PMP CTV - O&O,CTV,StackAdapt,StackAdapt,93439.91,8470701
2025-04-01,BidSwitch,DSP Marketplace - BFM,CTV,Infillion,Infillion,92637.41,11995237
2025-07-01,Direct,DSP Marketplace - BFM,CTV,StackAdapt,StackAdapt,91645.7,7760977
2025-07-01,BidSwitch,PMP Web - O&O,Display,DV360,DBM,90452.7,19893106
2025-07-01,Direct,Open Auction - BFM,CTV,Sharethrough,Sharethrough,89276.73,18429526
2025-07-01,Direct,DSP Marketplace - BFM,CTV,SimpliFi,SimpliFi,89226.73,7825961
2025-01-01,Direct,Open Auction - Seedtag,Online Video,RtbHouse,RtbHouse,88817.41,
2025-07-01,Direct,DSP Marketplace - BFM,CTV,GroundTruth,GroundTruth,87973.84,7378517
2025-07-01,BidSwitch,Open Auction - BFM,CTV,Amazon DSP,Amazon DSP,87874.66,53594237
2025-10-01,Direct,DSP Marketplace - BFM,CTV,GroundTruth,GroundTruth,87804.75,7954561
2025-07-01,Direct,Open Auction - BFM,CTV,Lemma DSP,Lemma DSP,87496.99,12932367
2025-04-01,BidSwitch,Open Auction - BFM,CTV,DV360,DV360,86919.93,29431626
2025-04-01,Direct,Open Auction - BFM,Display,TheTradeDesk,TheTradeDesk,85424.76,103490357
